id,focus,signal,slack,drag,confidence,score,lane
l001,retry pressure,35,33,6,25,211,ship
l002,route drift,35,34,6,55,272,ship
l003,socket risk,35,35,6,85,333,ship
l004,packet span,35,36,18,25,190,ship
l005,retry pressure,35,37,18,55,251,ship
l006,route drift,35,38,18,85,312,ship
l007,socket risk,35,39,34,25,161,watch
l008,packet span,35,40,34,55,222,ship
l009,retry pressure,35,41,34,85,283,ship
l010,route drift,60,42,6,25,320,ship
l011,socket risk,60,43,6,55,381,ship
l012,packet span,60,44,6,85,442,ship
l013,retry pressure,60,45,18,25,299,ship
l014,route drift,60,46,18,55,360,ship
l015,socket risk,60,47,18,85,421,ship
l016,packet span,60,48,34,25,270,ship
l017,retry pressure,60,32,34,55,314,ship
l018,route drift,60,33,34,85,375,ship
l019,socket risk,85,34,6,25,412,ship
l020,packet span,85,35,6,55,473,ship
l021,retry pressure,85,36,6,85,534,ship
l022,route drift,85,37,18,25,391,ship
l023,socket risk,85,38,18,55,452,ship
l024,packet span,85,39,18,85,513,ship
l025,retry pressure,85,40,34,25,362,ship
l026,route drift,85,41,34,55,423,ship
l027,socket risk,85,42,34,85,484,ship
